"Date","All"
"Jun-2017","4.7%"
"May-2017","4.7%"
"Apr-2017","4.7%"
"Mar-2017","4.8%"
"Feb-2017","4.8%"
"Jan-2017","4.9%"
"Dec-2016","4.9%"
"Nov-2016","4.9%"
"Oct-2016","4.9%"
"Sep-2016","4.9%"
"Aug-2016","4.9%"
"Jul-2016","5.0%"
"Jun-2016","5.0%"
"May-2016","5.0%"
"Apr-2016","5.1%"
"Mar-2016","5.1%"
"Feb-2016","5.2%"
"Jan-2016","5.2%"
"Dec-2015","5.3%"
"Nov-2015","5.3%"
"Oct-2015","5.4%"
"Sep-2015","5.4%"
"Aug-2015","5.5%"
"Jul-2015","5.6%"
"Jun-2015","5.7%"
"May-2015","5.8%"
"Apr-2015","5.8%"
"Mar-2015","5.9%"
"Feb-2015","6.0%"
"Jan-2015","6.1%"
"Dec-2014","6.2%"
"Nov-2014","6.3%"
"Oct-2014","6.4%"
"Sep-2014","6.5%"
"Aug-2014","6.6%"
"Jul-2014","6.7%"
"Jun-2014","6.8%"
"May-2014","6.9%"
"Apr-2014","7.0%"
"Mar-2014","7.1%"
"Feb-2014","7.2%"
"Jan-2014","7.3%"
"Dec-2013","7.4%"
"Nov-2013","7.5%"
"Oct-2013","7.5%"
"Sep-2013","7.6%"
"Aug-2013","7.6%"
"Jul-2013","7.7%"
"Jun-2013","7.8%"
"May-2013","7.8%"
"Apr-2013","7.9%"
"Mar-2013","7.9%"
"Feb-2013","8.0%"
"Jan-2013","8.0%"
"Dec-2012","8.1%"
"Nov-2012","8.1%"
"Oct-2012","8.2%"
"Sep-2012","8.3%"
"Aug-2012","8.4%"
"Jul-2012","8.4%"
"Jun-2012","8.5%"
"May-2012","8.6%"
"Apr-2012","8.7%"
"Mar-2012","8.7%"
"Feb-2012","8.8%"
"Jan-2012","8.9%"
"Dec-2011","8.9%"
"Nov-2011","9.0%"
"Oct-2011","9.1%"
"Sep-2011","9.2%"
"Aug-2011","9.2%"
"Jul-2011","9.2%"
"Jun-2011","9.3%"
"May-2011","9.3%"
"Apr-2011","9.3%"
"Mar-2011","9.4%"
"Feb-2011","9.5%"
"Jan-2011","9.6%"
"Dec-2010","9.6%"
"Nov-2010","9.7%"
"Oct-2010","9.7%"
"Sep-2010","9.7%"
"Aug-2010","9.7%"
"Jul-2010","9.7%"
"Jun-2010","9.7%"
"May-2010","9.7%"
"Apr-2010","9.7%"
"Mar-2010","9.7%"
"Feb-2010","9.6%"
"Jan-2010","9.4%"
"Dec-2009","9.3%"
"Nov-2009","9.0%"
"Oct-2009","8.8%"
"Sep-2009","8.5%"
"Aug-2009","8.2%"
"Jul-2009","7.9%"
"Jun-2009","7.6%"
"May-2009","7.3%"
"Apr-2009","7.0%"
"Mar-2009","6.7%"
"Feb-2009","6.3%"
"Jan-2009","6.0%"
"Dec-2008","5.8%"
"Nov-2008","5.6%"
"Oct-2008","5.4%"
"Sep-2008","5.3%"
"Aug-2008","5.2%"
"Jul-2008","5.0%"
"Jun-2008","4.9%"
"May-2008","4.9%"
"Apr-2008","4.8%"
"Mar-2008","4.7%"
"Feb-2008","4.7%"
"Jan-2008","4.7%"
"Dec-2007","4.6%"
"Nov-2007","4.6%"
"Oct-2007","4.6%"
"Sep-2007","4.5%"
"Aug-2007","4.5%"
"Jul-2007","4.5%"
"Jun-2007","4.5%"
"May-2007","4.5%"
"Apr-2007","4.6%"
"Mar-2007","4.6%"
"Feb-2007","4.6%"
"Jan-2007","4.6%"
"Dec-2006","4.6%"
"Nov-2006","4.7%"
"Oct-2006","4.7%"
"Sep-2006","4.7%"
"Aug-2006","4.8%"
"Jul-2006","4.8%"
"Jun-2006","4.8%"
"May-2006","4.9%"
"Apr-2006","4.9%"
"Mar-2006","4.9%"
"Feb-2006","5.0%"
"Jan-2006","5.0%"
"Dec-2005","5.1%"
"Nov-2005","5.1%"
"Oct-2005","5.2%"
"Sep-2005","5.2%"
"Aug-2005","5.2%"
"Jul-2005","5.3%"
"Jun-2005","5.3%"
"May-2005","5.3%"
"Apr-2005","5.4%"
"Mar-2005","5.4%"
"Feb-2005","5.5%"
"Jan-2005","5.5%"
"Dec-2004","5.5%"
"Nov-2004","5.6%"
"Oct-2004","5.6%"
"Sep-2004","5.6%"
"Aug-2004","5.7%"
"Jul-2004","5.7%"
"Jun-2004","5.8%"
"May-2004","5.8%"
"Apr-2004","5.9%"
"Mar-2004","5.9%"
"Feb-2004","5.9%"
"Jan-2004","6.0%"
"Dec-2003","6.0%"
"Nov-2003","6.0%"
"Oct-2003","6.0%"
"Sep-2003","6.0%"
"Aug-2003","6.0%"
"Jul-2003","5.9%"
"Jun-2003","5.9%"
"May-2003","5.9%"
"Apr-2003","5.8%"
"Mar-2003","5.8%"
"Feb-2003","5.8%"
"Jan-2003","5.8%"
"Dec-2002","5.8%"
"Nov-2002","5.8%"
"Oct-2002","5.7%"
"Sep-2002","5.7%"
"Aug-2002","5.6%"
"Jul-2002","5.6%"
"Jun-2002","5.5%"
"May-2002","5.4%"
"Apr-2002","5.3%"
"Mar-2002","5.1%"
"Feb-2002","5.0%"
"Jan-2002","4.9%"
"Dec-2001","4.7%"
"Nov-2001","4.6%"
"Oct-2001","4.5%"
"Sep-2001","4.3%"
"Aug-2001","4.3%"
"Jul-2001","4.2%"
"Jun-2001","4.2%"
"May-2001","4.1%"
"Apr-2001","4.1%"
"Mar-2001","4.0%"
"Feb-2001","4.0%"
"Jan-2001","4.0%"
"Dec-2000","4.0%"
"Nov-2000","4.0%"
"Oct-2000","4.0%"
"Sep-2000","4.0%"
"Aug-2000","4.1%"
"Jul-2000","4.1%"
"Jun-2000","4.1%"
"May-2000","4.1%"
"Apr-2000","4.1%"
