"Date","All","16-24","25-54","55-64"
"Jun-2017","4.7%","9.8%","4.0%","3.3%"
"May-2017","4.7%","9.9%","4.1%","3.3%"
"Apr-2017","4.7%","10.1%","4.1%","3.3%"
"Mar-2017","4.8%","10.2%","4.1%","3.4%"
"Feb-2017","4.8%","10.3%","4.1%","3.5%"
"Jan-2017","4.9%","10.4%","4.1%","3.5%"
"Dec-2016","4.9%","10.4%","4.2%","3.6%"
"Nov-2016","4.9%","10.5%","4.2%","3.5%"
"Oct-2016","4.9%","10.6%","4.2%","3.6%"
"Sep-2016","4.9%","10.6%","4.2%","3.6%"
"Aug-2016","4.9%","10.7%","4.2%","3.6%"
"Jul-2016","5.0%","10.8%","4.2%","3.6%"
"Jun-2016","5.0%","10.8%","4.2%","3.6%"
"May-2016","5.0%","11.0%","4.3%","3.7%"
"Apr-2016","5.1%","11.1%","4.3%","3.7%"
"Mar-2016","5.1%","11.2%","4.3%","3.7%"
"Feb-2016","5.2%","11.3%","4.4%","3.7%"
"Jan-2016","5.2%","11.4%","4.4%","3.7%"
"Dec-2015","5.3%","11.6%","4.5%","3.8%"
"Nov-2015","5.3%","11.7%","4.5%","3.8%"
"Oct-2015","5.4%","11.8%","4.5%","3.9%"
"Sep-2015","5.4%","11.9%","4.6%","3.9%"
"Aug-2015","5.5%","12.2%","4.6%","3.9%"
"Jul-2015","5.6%","12.3%","4.7%","4.0%"
"Jun-2015","5.7%","12.5%","4.8%","4.0%"
"May-2015","5.8%","12.6%","4.8%","4.1%"
"Apr-2015","5.8%","12.7%","4.9%","4.2%"
"Mar-2015","5.9%","12.8%","5.0%","4.2%"
"Feb-2015","6.0%","13.0%","5.1%","4.3%"
"Jan-2015","6.1%","13.2%","5.2%","4.3%"
"Dec-2014","6.2%","13.4%","5.2%","4.4%"
"Nov-2014","6.3%","13.5%","5.3%","4.5%"
"Oct-2014","6.4%","13.6%","5.4%","4.5%"
"Sep-2014","6.5%","13.8%","5.5%","4.6%"
"Aug-2014","6.6%","13.9%","5.6%","4.7%"
"Jul-2014","6.7%","14.1%","5.7%","4.8%"
"Jun-2014","6.8%","14.2%","5.8%","4.9%"
"May-2014","6.9%","14.5%","5.9%","5.0%"
"Apr-2014","7.0%","14.7%","6.0%","5.0%"
