"Date","All","Black","Hispanic","White"
"Jun-2017","4.7%","8.0%","5.5%","3.8%"
"May-2017","4.7%","8.1%","5.6%","3.8%"
"Apr-2017","4.7%","8.1%","5.7%","3.9%"
"Mar-2017","4.8%","8.2%","5.7%","3.9%"
"Feb-2017","4.8%","8.3%","5.8%","3.9%"
"Jan-2017","4.9%","8.4%","5.8%","4.0%"
"Dec-2016","4.9%","8.5%","5.8%","4.0%"
"Nov-2016","4.9%","8.5%","5.8%","4.0%"
"Oct-2016","4.9%","8.6%","5.9%","4.0%"
"Sep-2016","4.9%","8.7%","5.9%","4.0%"
"Aug-2016","4.9%","8.8%","5.9%","4.0%"
"Jul-2016","5.0%","8.9%","6.0%","4.0%"
"Jun-2016","5.0%","8.9%","6.1%","4.0%"
"May-2016","5.0%","9.0%","6.2%","4.0%"
"Apr-2016","5.1%","9.2%","6.3%","4.0%"
"Mar-2016","5.1%","9.2%","6.3%","4.1%"
"Feb-2016","5.2%","9.3%","6.4%","4.1%"
"Jan-2016","5.2%","9.4%","6.5%","4.1%"
"Dec-2015","5.3%","9.6%","6.6%","4.2%"
"Nov-2015","5.3%","9.8%","6.6%","4.2%"
"Oct-2015","5.4%","9.9%","6.6%","4.2%"
"Sep-2015","5.4%","10.0%","6.7%","4.3%"
"Aug-2015","5.5%","10.2%","6.7%","4.4%"
"Jul-2015","5.6%","10.4%","6.8%","4.4%"
"Jun-2015","5.7%","10.6%","6.9%","4.5%"
"May-2015","5.8%","10.7%","7.0%","4.6%"
"Apr-2015","5.8%","10.8%","7.0%","4.6%"
"Mar-2015","5.9%","11.0%","7.1%","4.7%"
"Feb-2015","6.0%","11.2%","7.2%","4.7%"
"Jan-2015","6.1%","11.3%","7.3%","4.8%"
"Dec-2014","6.2%","11.4%","7.4%","4.9%"
"Nov-2014","6.3%","11.5%","7.6%","5.0%"
"Oct-2014","6.4%","11.6%","7.7%","5.0%"
"Sep-2014","6.5%","11.8%","7.9%","5.1%"
"Aug-2014","6.6%","12.0%","8.1%","5.2%"
"Jul-2014","6.7%","12.1%","8.3%","5.3%"
"Jun-2014","6.8%","12.2%","8.4%","5.4%"
"May-2014","6.9%","12.5%","8.5%","5.5%"
"Apr-2014","7.0%","12.6%","8.6%","5.6%"
"Mar-2014","7.1%","12.7%","8.8%","5.7%"
"Feb-2014","7.2%","12.8%","8.9%","5.8%"
"Jan-2014","7.3%","13.0%","9.0%","5.9%"
"Dec-2013","7.4%","13.1%","9.1%","6.0%"
"Nov-2013","7.5%","13.3%","9.2%","6.1%"
"Oct-2013","7.5%","13.4%","9.3%","6.1%"
"Sep-2013","7.6%","13.4%","9.4%","6.2%"
"Aug-2013","7.6%","13.5%","9.5%","6.2%"
"Jul-2013","7.7%","13.6%","9.5%","6.3%"
"Jun-2013","7.8%","13.7%","9.6%","6.3%"
"May-2013","7.8%","13.8%","9.8%","6.4%"
"Apr-2013","7.9%","13.8%","9.9%","6.4%"
"Mar-2013","7.9%","13.8%","10.0%","6.5%"
"Feb-2013","8.0%","13.9%","10.1%","6.5%"
"Jan-2013","8.0%","13.9%","10.2%","6.6%"
"Dec-2012","8.1%","13.9%","10.3%","6.6%"
"Nov-2012","8.1%","14.1%","10.4%","6.6%"
"Oct-2012","8.2%","14.3%","10.5%","6.7%"
"Sep-2012","8.3%","14.3%","10.6%","6.7%"
"Aug-2012","8.4%","14.5%","10.8%","6.8%"
"Jul-2012","8.4%","14.7%","10.8%","6.9%"
"Jun-2012","8.5%","14.8%","10.9%","6.9%"
"May-2012","8.6%","15.0%","11.0%","7.0%"
"Apr-2012","8.7%","15.2%","11.0%","7.0%"
"Mar-2012","8.7%","15.4%","11.2%","7.1%"
"Feb-2012","8.8%","15.6%","11.3%","7.1%"
"Jan-2012","8.9%","15.7%","11.3%","7.2%"
